"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"W","956"," 1023"," 1234"," 963"," 576"," -0.41"," 0.83"," -0.03"," -8.57"," -2.21"," -4.60"
"W","1058"," 1017"," 1238"," 957"," 582"," 0.16"," -0.31"," -0.02"," -8.30"," -2.26"," -4.59"
"W","1061"," 1011"," 1234"," 954"," 581"," 0.06"," -0.09"," -0.03"," -8.25"," -1.10"," -4.10"
"W","1064"," 1009"," 1233"," 945"," 528"," -0.23"," 0.05"," 0.04"," -8.29"," -0.67"," -3.88"
"W","1058"," 1008"," 1232"," 945"," 494"," 0.09"," -0.04"," -0.07"," -8.65"," -0.07"," -3.94"
"W","1086"," 1018"," 1241"," 965"," 496"," -0.08"," -0.18"," 0.07"," -8.77"," -0.97"," -3.82"
"W","1095"," 1017"," 1244"," 976"," 525"," -0.14"," -0.29"," 0.02"," -8.78"," -0.81"," -3.20"
"W","1078"," 1017"," 1241"," 973"," 556"," 0.67"," -0.34"," -0.28"," -7.97"," -1.38"," -2.49"
"W","1081"," 1018"," 1249"," 967"," 511"," 0.34"," -0.00"," -0.12"," -6.98"," -1.33"," -1.38"
"W","1088"," 1012"," 1246"," 958"," 544"," 0.06"," 0.65"," -0.20"," -7.54"," -3.36"," -3.45"
"W","1079"," 1018"," 1252"," 986"," 550"," -0.44"," 1.05"," -0.16"," -8.21"," -1.84"," -3.03"
"W","1058"," 1023"," 1255"," 976"," 567"," 2.81"," -0.62"," 0.31"," -7.43"," -7.97"," -8.09"
"W","1072"," 1023"," 1254"," 941"," 539"," -0.50"," -0.01"," 0.07"," -8.45"," -2.86"," -2.43"
"W","1078"," 1022"," 1184"," 960"," 538"," 0.38"," -0.04"," -0.03"," -8.19"," -2.31"," -3.95"
"W","1079"," 1017"," 1173"," 934"," 546"," -0.06"," 0.14"," 0.03"," -8.71"," -3.67"," -5.56"
"W","1074"," 1010"," 1229"," 958"," 553"," -0.10"," 0.08"," 0.01"," -8.35"," -2.19"," -3.19"
"W","1078"," 1020"," 1232"," 946"," 542"," 0.01"," -0.06"," 0.03"," -8.69"," -2.64"," -3.02"
"W","1082"," 1016"," 1229"," 959"," 540"," -0.01"," -0.01"," 0.01"," -8.60"," -2.70"," -2.95"
"W","1082"," 1012"," 1236"," 959"," 532"," -0.03"," -0.04"," 0.00"," -8.47"," -2.93"," -3.40"
"W","1067"," 1008"," 1232"," 962"," 553"," -0.02"," -0.05"," 0.02"," -8.45"," -2.73"," -3.40"
"W","1070"," 1008"," 1232"," 955"," 566"," -0.05"," 0.01"," 0.02"," -8.35"," -2.85"," -3.32"
"W","1071"," 1008"," 1231"," 954"," 566"," -0.02"," -0.01"," -0.01"," -8.42"," -3.03"," -3.32"
"W","1069"," 1009"," 1230"," 950"," 562"," -0.02"," -0.03"," 0.01"," -8.37"," -3.01"," -3.31"
"W","1071"," 1008"," 1229"," 951"," 561"," -0.02"," -0.01"," 0.01"," -8.30"," -3.00"," -3.31"
"W","1072"," 1008"," 1232"," 949"," 556"," -0.02"," -0.02"," 0.01"," -8.33"," -3.06"," -3.36"
"W","1071"," 1007"," 1227"," 944"," 553"," -0.04"," -0.01"," 0.01"," -8.27"," -3.12"," -3.49"
"W","1070"," 1008"," 1226"," 945"," 550"," -0.02"," -0.03"," 0.02"," -8.23"," -3.15"," -3.51"
"W","1069"," 1008"," 1227"," 945"," 555"," -0.02"," -0.03"," 0.02"," -8.27"," -3.11"," -3.46"
"W","1066"," 1009"," 1232"," 961"," 565"," 1.83"," -0.86"," 0.15"," -8.60"," -3.05"," -2.37"
"W","1067"," 1011"," 1233"," 969"," 576"," -0.01"," -0.02"," -0.01"," -8.91"," -3.39"," -1.36"
"W","1068"," 1013"," 1232"," 962"," 574"," -0.03"," 0.02"," 0.01"," -8.85"," -3.20"," -1.69"
"W","1069"," 1010"," 1233"," 959"," 565"," -0.01"," -0.01"," 0.01"," -8.83"," -3.32"," -1.89"
