"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"Y","1229"," 549"," 754"," 620"," 1109"," -0.04"," -0.02"," 0.01"," -8.47"," -0.81"," -3.93"
"Y","1231"," 549"," 752"," 621"," 1111"," -0.03"," -0.01"," 0.01"," -8.46"," -0.66"," -4.09"
"Y","1231"," 549"," 752"," 619"," 1088"," -0.02"," -0.02"," -0.00"," -8.40"," -0.54"," -4.24"
"Y","1230"," 549"," 752"," 617"," 1088"," -0.04"," -0.08"," 0.07"," -8.38"," -0.51"," -4.31"
"Y","1232"," 549"," 766"," 621"," 1119"," -0.30"," 0.66"," -0.17"," -5.11"," -0.54"," -8.73"
"Y","1229"," 548"," 753"," 619"," 1109"," -0.03"," -0.04"," 0.01"," -8.44"," -0.76"," -4.03"
"Y","1231"," 548"," 752"," 618"," 1101"," -0.04"," 0.01"," 0.00"," -8.48"," -0.55"," -4.28"
"Y","1231"," 548"," 752"," 619"," 1095"," -0.03"," -0.03"," 0.02"," -8.50"," -0.57"," -4.23"
"Y","1219"," 547"," 747"," 602"," 1111"," -0.28"," 0.43"," -0.04"," -7.51"," -1.91"," -5.49"
"Y","1231"," 547"," 760"," 614"," 1063"," -0.01"," 0.60"," -0.05"," -5.81"," -0.84"," -6.55"
"Y","1230"," 547"," 753"," 621"," 1115"," -0.02"," -0.02"," 0.01"," -8.48"," -0.74"," -4.12"
"Y","1230"," 547"," 751"," 618"," 1086"," 0.01"," -0.00"," 0.00"," -8.38"," -0.56"," -4.34"
"Y","1220"," 545"," 743"," 599"," 1115"," -0.14"," -0.19"," 0.06"," -6.94"," -2.43"," -4.12"
"Y","1229"," 545"," 752"," 617"," 1085"," -0.05"," -0.01"," 0.01"," -8.39"," -0.50"," -4.49"
"Y","1219"," 543"," 740"," 599"," 1118"," -0.02"," 0.14"," 0.13"," -7.53"," -1.92"," -5.29"
"Y","1222"," 541"," 737"," 594"," 1118"," -0.05"," 0.13"," -0.02"," -7.58"," -2.32"," -5.64"
"Y","1232"," 538"," 752"," 609"," 1053"," -0.04"," 0.04"," -0.11"," -5.67"," -0.70"," -6.82"
"Y","1221"," 537"," 747"," 599"," 1109"," -0.02"," -0.17"," 0.01"," -6.75"," -2.30"," -4.27"
"Y","1231"," 534"," 752"," 621"," 1115"," -0.04"," -0.01"," 0.01"," -8.60"," -0.61"," -4.04"
"Y","1232"," 534"," 752"," 620"," 1103"," -0.04"," -0.02"," 0.02"," -8.50"," -0.70"," -4.39"
"Y","1217"," 531"," 742"," 598"," 1109"," -0.09"," 0.19"," -0.01"," -7.18"," -2.16"," -4.55"
"Y","1219"," 529"," 741"," 589"," 1105"," 0.01"," 0.00"," -0.05"," -6.68"," -2.34"," -6.17"
"Y","1222"," 528"," 738"," 592"," 1121"," -0.11"," -0.01"," 0.05"," -7.86"," -2.31"," -5.20"
"Y","1219"," 511"," 734"," 592"," 1126"," 0.09"," -0.12"," -0.05"," -7.53"," -2.21"," -4.42"
"Y","1231"," 511"," 758"," 619"," 1058"," -0.17"," -0.33"," 0.14"," -6.57"," -1.56"," -6.82"
"Y","1218"," 508"," 731"," 583"," 1085"," 0.01"," -0.02"," -0.01"," -6.51"," -2.49"," -6.22"
"Y","1218"," 507"," 729"," 591"," 1109"," 0.12"," -0.10"," 0.02"," -6.89"," -1.87"," -5.35"
